"bug.id","treatment","temp.avg","temp.var","instar","day.age","mass.wand","mass.48em","num.ovp","suc.ovp","instar.em","bled.em","num.em","num.coc","num.fail.spin","num.ecl","num.unem","load","date.laid.j","date.hatch.j","date.died.j","date.3.j","date.4.j","date.5.j","date.wand.j","date.ovp.j","date.em.j","date.ecl.j","waspdev.tot","waspdev.int","stsp.llsurv","stsp.pupsurv","tot.elsurv","tot.llsurv","tot.surv","timeto3","timeto4","timeto5","int3","ttwand","ttem","date.coll.j","coll.loc","pop","diet","end","int5","use","int4","ttend","mass"
"25.0_c_23","control","25","0","5",12,9845.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,2207.51
"25.0_c_23","control","25","0","end",16,9845.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,9845.56
"25.0_c_24","control","25","0","3",5,13378.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,163,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,13,4,17,NA,NA,NA,"lab","col",171,4,1,4,17,33.37
"25.0_c_24","control","25","0","4",9,13378.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,163,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,13,4,17,NA,NA,NA,"lab","col",171,4,1,4,17,315.11
"25.0_c_24","control","25","0","5",13,13378.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,163,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,13,4,17,NA,NA,NA,"lab","col",171,4,1,4,17,2889.55
"25.0_c_24","control","25","0","end",17,13378.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,163,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,13,4,17,NA,NA,NA,"lab","col",171,4,1,4,17,13378.54
"25.0_c_25","control","25","0","3",6,11594.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,163,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,14,4,19,NA,NA,NA,"lab","col",172,5,1,4,19,74.47
"25.0_c_25","control","25","0","4",10,11594.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,163,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,14,4,19,NA,NA,NA,"lab","col",172,5,1,4,19,365.29
"25.0_c_25","control","25","0","5",14,11594.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,163,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,14,4,19,NA,NA,NA,"lab","col",172,5,1,4,19,2210.19
"25.0_c_25","control","25","0","end",19,11594.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,163,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,14,4,19,NA,NA,NA,"lab","col",172,5,1,4,19,11594.43
"25.0_c_27","control","25","0","3",6,11681.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,163,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,14,4,19,NA,NA,NA,"lab","col",172,5,1,4,19,52.64
"25.0_c_27","control","25","0","4",10,11681.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,163,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,14,4,19,NA,NA,NA,"lab","col",172,5,1,4,19,319.19
"25.0_c_27","control","25","0","5",14,11681.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,163,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,14,4,19,NA,NA,NA,"lab","col",172,5,1,4,19,1518.17
"25.0_c_27","control","25","0","end",19,11681.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,163,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,14,4,19,NA,NA,NA,"lab","col",172,5,1,4,19,11681.52
"25.0_c_28","control","25","0","3",6,10711.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,160,162,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,13,2,17,NA,NA,NA,"lab","col",171,4,1,5,17,67.98
"25.0_c_28","control","25","0","4",8,10711.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,160,162,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,13,2,17,NA,NA,NA,"lab","col",171,4,1,5,17,238.46
"25.0_c_28","control","25","0","5",13,10711.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,160,162,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,13,2,17,NA,NA,NA,"lab","col",171,4,1,5,17,1709.19
"25.0_c_28","control","25","0","end",17,10711.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,160,162,167,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,13,2,17,NA,NA,NA,"lab","col",171,4,1,5,17,10711.63
"25.0_c_29","control","25","0","3",5,12331.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,163,166,170,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",174,4,1,4,16,40.2
"25.0_c_29","control","25","0","4",8,12331.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,163,166,170,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",174,4,1,4,16,267.95
"25.0_c_29","control","25","0","5",12,12331.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,163,166,170,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",174,4,1,4,16,2608.1
"25.0_c_29","control","25","0","end",16,12331.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,163,166,170,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",174,4,1,4,16,12331.63
"25.0_c_3","control","25","0","3",5,10803.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,162,166,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,13,4,18,NA,NA,NA,"lab","col",171,5,1,4,18,30.76
"25.0_c_3","control","25","0","4",9,10803.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,162,166,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,13,4,18,NA,NA,NA,"lab","col",171,5,1,4,18,215.95
"25.0_c_3","control","25","0","5",13,10803.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,162,166,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,13,4,18,NA,NA,NA,"lab","col",171,5,1,4,18,1714.33
"25.0_c_3","control","25","0","end",18,10803.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,162,166,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,13,4,18,NA,NA,NA,"lab","col",171,5,1,4,18,10803.67
"25.0_c_30","control","25","0","3",5,10966.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,163,166,170,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,15,NA,NA,NA,"lab","col",173,3,1,4,15,65.75
"25.0_c_30","control","25","0","4",8,10966.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,163,166,170,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,15,NA,NA,NA,"lab","col",173,3,1,4,15,430.28
